		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  261  242  235  249  272  259  252  254  4.123935 0.845772 SUCCESS   0
000000011  266  254  259  222  252  269  244  254  6.432073 0.598952 SUCCESS   1
000000101  249  214  227  275  242  265  272  222 16.578206 0.034813 SUCCESS   2
000000111  272  247  266  204  258  265  233  252 14.261147 0.075208 SUCCESS   3
000001001  256  238  259  260  264  254  275  252  4.980630 0.759644 SUCCESS   4
000001011  245  231  243  259  241  243  253  220  6.425220 0.599714 SUCCESS   5
000001101  237  290  249  251  233  257  277  233 12.941067 0.113893 SUCCESS   6
000001111  265  258  280  236  236  250  239  275  9.632719 0.291756 SUCCESS   7
000010001  260  261  276  267  257  270  247  256  6.962949 0.540635 SUCCESS   8
000010011  247  247  259  242  272  241  255  253  3.154756 0.924274 SUCCESS   9
000010101  283  245  259  239  257  255  245  261  6.360703 0.606896 SUCCESS  10
000010111  255  238  237  267  236  243  268  264  5.760267 0.674065 SUCCESS  11
000011001  258  260  206  260  256  255  253  267 10.589487 0.226061 SUCCESS  12
000011011  248  270  255  255  218  235  249  232  8.385689 0.396730 SUCCESS  13
000011101  259  248  214  233  262  225  235  252 11.029212 0.200049 SUCCESS  14
000011111  274  247  269  258  249  249  247  261  4.731871 0.785812 SUCCESS  15
000100011  245  233  277  232  255  240  246  241  6.570287 0.583622 SUCCESS  16
000100101  246  245  245  244  257  258  256  245  1.141406 0.997187 SUCCESS  17
000100111  260  248  229  248  265  252  239  254  3.785059 0.875977 SUCCESS  18
000101001  246  225  246  286  240  249  245  254  8.666642 0.371193 SUCCESS  19
000101011  254  269  273  235  236  240  276  241  9.039135 0.339005 SUCCESS  20
000101101  250  240  277  217  275  249  246  242 10.855960 0.209995 SUCCESS  21
000101111  280  246  230  271  236  259  279  265 12.834400 0.117676 SUCCESS  22
000110011  240  232  224  266  253  256  246  257  6.062036 0.640283 SUCCESS  23
000110101  243  262  261  275  240  255  259  259  5.079410 0.749056 SUCCESS  24
000110111  251  247  263  259  255  243  256  227  3.719636 0.881492 SUCCESS  25
000111001  246  228  255  250  262  229  235  257  5.721220 0.678427 SUCCESS  26
000111011  240  243  227  251  288  233  261  238 11.073301 0.197580 SUCCESS  27
000111101  276  272  250  252  224  270  243  249  9.479248 0.303492 SUCCESS  28
000111111  257  272  270  248  278  261  275  247 10.258109 0.247375 SUCCESS  29
001000011  272  260  263  248  242  237  259  278  7.682465 0.465086 SUCCESS  30
001000101  240  242  272  246  252  216  257  266  8.807313 0.358811 SUCCESS  31
001000111  237  244  262  241  276  240  250  249  4.993689 0.758250 SUCCESS  32
001001011  259  263  241  236  237  284  224  254 10.525228 0.230078 SUCCESS  33
001001101  239  259  242  272  264  254  253  251  4.025931 0.854776 SUCCESS  34
001001111  261  237  252  260  248  266  257  237  3.610125 0.890477 SUCCESS  35
001010011  229  223  262  272  256  246  261  247  8.191491 0.414992 SUCCESS  36
001010101  266  257  232  262  264  253  211  248 10.354949 0.240991 SUCCESS  37
001010111  247  242  270  244  250  233  298  256 12.988259 0.112254 SUCCESS  38
001011011  261  265  273  225  248  254  275  222 12.121349 0.145871 SUCCESS  39
001011101  242  222  232  254  233  278  262  238 10.541131 0.229078 SUCCESS  40
001011111  287  258  247  274  231  246  251  266 10.980081 0.202830 SUCCESS  41
001100101  243  250  261  232  279  253  255  259  6.003337 0.646858 SUCCESS  42
001100111  239  238  219  229  246  257  242  247  7.457236 0.488196 SUCCESS  43
001101011  248  256  280  295  252  250  250  238 12.888574 0.115741 SUCCESS  44
001101101  254  279  263  248  242  229  232  230  9.343362 0.314163 SUCCESS  45
001101111  246  254  248  236  246  233  256  246  2.432396 0.964809 SUCCESS  46
001110101  242  233  244  257  256  239  243  258  2.925648 0.938936 SUCCESS  47
001110111  249  250  256  252  248  256  248  259  0.689139 0.999553 SUCCESS  48
001111011  252  268  238  235  223  234  278  243 10.401754 0.237952 SUCCESS  49
001111101  266  260  264  245  219  259  227  260  9.300824 0.317558 SUCCESS  50
001111111  263  254  263  251  281  272  249  251  7.466416 0.487244 SUCCESS  51
010000011  257  258  266  281  229  241  259  287 13.671701 0.090734 SUCCESS  52
010000111  270  268  240  239  250  219  241  265  9.150844 0.329731 SUCCESS  53
010001011  222  243  245  242  244  253  264  252  4.823798 0.776232 SUCCESS  54
010001111  235  247  285  245  262  241  254  250  7.139434 0.521666 SUCCESS  55
010010011  254  234  250  244  266  258  244  254  2.813939 0.945486 SUCCESS  56
010010111  259  267  259  266  230  258  221  245  8.428485 0.392772 SUCCESS  57
010011011  246  260  253  263  262  245  233  249  3.116873 0.926810 SUCCESS  58
010011111  270  234  270  276  241  260  231  227 11.598230 0.170050 SUCCESS  59
010100011  238  271  279  255  231  264  246  229 10.200315 0.251247 SUCCESS  60
010100111  241  222  251  269  257  238  244  243  6.222230 0.622354 SUCCESS  61
010101011  256  255  216  238  257  262  231  260  8.333584 0.401581 SUCCESS  62
010101111  263  277  263  253  219  249  285  239 14.007087 0.081581 SUCCESS  63
010110011  246  261  247  222  238  238  256  265  6.115693 0.634274 SUCCESS  64
010110111  228  272  271  254  257  288  261  246 12.649640 0.124486 SUCCESS  65
010111011  235  213  246  243  251  248  286  247 12.279863 0.139147 SUCCESS  66
010111111  268  265  255  256  250  269  247  238  4.656622 0.793567 SUCCESS  67
011000111  230  266  247  244  251  268  253  247  4.320202 0.827140 SUCCESS  68
011001111  249  245  218  221  243  224  235  286 17.106109 0.029023 SUCCESS  69
011010111  238  255  276  284  282  231  232  242 15.619628 0.048159 SUCCESS  70
011011111  233  266  250  235  221  229  275  251 11.074723 0.197501 SUCCESS  71
011101111  247  234  256  244  251  253  283  256  6.093325 0.636779 SUCCESS  72
011111111  275  257  250  236  255  268  259  245  5.487846 0.704386 SUCCESS  73
100000000  261  242  235  249  272  259  252  254  4.123935 0.845772 SUCCESS  74
100010000  280  237  235  283  247  247  259  253 10.311507 0.243839 SUCCESS  75
100100000  277  266  250  236  242  250  275  257  7.946481 0.438715 SUCCESS  76
100101000  270  255  252  252  264  256  261  248  3.276032 0.915860 SUCCESS  77
100110000  249  263  259  265  261  240  246  274  5.340453 0.720645 SUCCESS  78
100111000  238  234  255  224  232  251  227  230  9.729430 0.284532 SUCCESS  79
101000000  265  224  251  227  261  260  243  228  9.034869 0.339363 SUCCESS  80
101000100  257  228  204  252  243  234  255  250 12.331838 0.137001 SUCCESS  81
101001000  269  262  267  251  237  260  259  240  5.156857 0.740687 SUCCESS  82
101001100  268  255  247  239  251  239  256  238  3.230392 0.919078 SUCCESS  83
101010000  262  241  239  279  272  250  261  254  7.487879 0.485021 SUCCESS  84
101010100  265  255  253  268  234  225  221  241  9.866869 0.274495 SUCCESS  85
101011000  241  246  258  261  240  247  247  268  2.996501 0.934577 SUCCESS  86
