time,rd_addr,bank0_out,bank1_out,bank2_out,bank3_out,ALU_in0,ALU_in1,ALU_in2,ALU_in3,switch
2025000,0,0,0,0,0,0,0,0,0,0
2035000,1,1,129,65,193,1,65,129,193,0
2045000,2,33,161,97,225,33,97,161,225,0
2055000,3,17,145,81,209,17,81,145,209,0
2065000,4,49,177,113,241,49,113,177,241,0
2075000,5,9,137,73,201,9,73,137,201,0
2085000,6,41,169,105,233,41,105,169,233,0
2095000,7,25,153,89,217,25,89,153,217,0
2105000,8,57,185,121,249,57,121,185,249,0
2115000,9,5,133,69,197,5,69,133,197,0
2125000,10,37,165,101,229,37,101,165,229,0
2135000,11,21,149,85,213,21,85,149,213,0
2145000,12,53,181,117,245,53,117,181,245,0
2155000,13,13,141,77,205,13,77,141,205,0
2165000,14,45,173,109,237,45,109,173,237,0
2175000,15,29,157,93,221,29,93,157,221,0
2185000,16,61,189,125,253,61,125,189,253,0
2195000,17,3,131,67,195,3,67,131,195,0
2205000,18,35,163,99,227,35,99,163,227,0
2215000,19,19,147,83,211,19,83,147,211,0
2225000,20,51,179,115,243,51,115,179,243,0
2235000,21,11,139,75,203,11,75,139,203,0
2245000,22,43,171,107,235,43,107,171,235,0
2255000,23,27,155,91,219,27,91,155,219,0
2265000,24,59,187,123,251,59,123,187,251,0
2275000,25,7,135,71,199,7,71,135,199,0
2285000,26,39,167,103,231,39,103,167,231,0
2295000,27,23,151,87,215,23,87,151,215,0
2305000,28,55,183,119,247,55,119,183,247,0
2315000,29,15,143,79,207,15,79,143,207,0
2325000,30,47,175,111,239,47,111,175,239,0
2335000,31,31,159,95,223,31,95,159,223,0
2345000,32,63,191,127,255,63,127,191,255,0
2355000,33,2,130,66,194,2,66,130,194,0
2365000,34,34,162,98,226,34,98,162,226,0
2375000,35,18,146,82,210,18,82,146,210,0
2385000,36,50,178,114,242,50,114,178,242,0
2395000,37,10,138,74,202,10,74,138,202,0
2405000,38,42,170,106,234,42,106,170,234,0
2415000,39,26,154,90,218,26,90,154,218,0
2425000,40,58,186,122,250,58,122,186,250,0
2435000,41,6,134,70,198,6,70,134,198,0
2445000,42,38,166,102,230,38,102,166,230,0
2455000,43,22,150,86,214,22,86,150,214,0
2465000,44,54,182,118,246,54,118,182,246,0
2475000,45,14,142,78,206,14,78,142,206,0
2485000,46,46,174,110,238,46,110,174,238,0
2495000,47,30,158,94,222,30,94,158,222,0
2505000,48,62,190,126,254,62,126,190,254,0
2515000,49,4,132,68,196,4,68,132,196,0
2525000,50,36,164,100,228,36,100,164,228,0
2535000,51,20,148,84,212,20,84,148,212,0
2545000,52,52,180,116,244,52,116,180,244,0
2555000,53,12,140,76,204,12,76,140,204,0
2565000,54,44,172,108,236,44,108,172,236,0
2575000,55,28,156,92,220,28,92,156,220,0
2585000,56,60,188,124,252,60,124,188,252,0
