time,bank,addr,data,wr_en,bank_cnt4,KAD_bank_switch
2165000,0,0,187,1,1,0
2175000,0,1,2651,1,2,0
2175000,1,0,338,1,1,0
2185000,0,2,3140,1,3,0
2185000,1,1,2003,1,2,0
2185000,2,0,1927,1,1,0
2195000,0,3,684,1,0,0
2195000,1,2,523,1,3,0
2195000,2,1,2327,1,2,0
2195000,3,0,2078,1,1,0
2205000,0,4,1057,1,1,0
2205000,1,3,597,1,0,0
2205000,2,2,167,1,3,0
2205000,3,1,1679,1,2,0
2215000,0,5,2489,1,2,0
2215000,1,4,1208,1,1,0
2215000,2,3,2305,1,0,0
2215000,3,2,879,1,3,0
2225000,0,6,3318,1,3,0
2225000,1,5,1841,1,2,0
2225000,2,4,2797,1,1,0
2225000,3,3,2218,1,0,0
2235000,0,7,3159,1,0,0
2235000,1,6,701,1,3,0
2235000,2,5,2165,1,2,0
2235000,3,4,2948,1,1,0
2245000,0,8,622,1,1,0
2245000,1,7,3072,1,0,0
2245000,2,6,345,1,3,0
2245000,3,5,1517,1,2,0
2255000,0,9,2570,1,2,0
2255000,1,8,773,1,1,0
2255000,2,7,1451,1,0,0
2255000,3,6,1057,1,3,0
2265000,0,10,3229,1,3,0
2265000,1,9,1922,1,2,0
2265000,2,8,2362,1,1,0
2265000,3,7,1364,1,0,0
2275000,0,11,257,1,0,0
2275000,1,10,612,1,3,0
2275000,2,9,2246,1,2,0
2275000,3,8,2513,1,1,0
2285000,0,12,1492,1,1,0
2285000,1,11,170,1,0,0
2285000,2,10,256,1,3,0
2285000,3,9,1598,1,2,0
2295000,0,13,2408,1,2,0
2295000,1,12,1643,1,1,0
2295000,2,11,1878,1,0,0
2295000,3,10,968,1,3,0
2305000,0,14,78,1,3,0
2305000,1,13,1760,1,2,0
2305000,2,12,3232,1,1,0
2305000,3,11,1791,1,0,0
2315000,0,15,2732,1,0,0
2315000,1,14,790,1,3,0
2315000,2,13,2084,1,2,0
2315000,3,12,54,1,1,0
2325000,0,16,2069,1,1,0
2325000,1,15,2645,1,0,0
2325000,2,14,434,1,3,0
2325000,3,13,1436,1,2,0
2335000,0,17,946,1,2,0
2335000,1,16,2220,1,1,0
2335000,2,15,1024,1,0,0
2335000,3,14,1146,1,3,0
2345000,0,18,1520,1,3,0
2345000,1,17,298,1,2,0
2345000,2,16,480,1,1,0
2345000,3,15,937,1,0,0
2355000,0,19,2135,1,0,0
2355000,1,18,2232,1,3,0
2355000,2,17,622,1,2,0
2355000,3,16,631,1,1,0
2365000,0,20,2939,1,1,0
2365000,1,19,2048,1,0,0
2365000,2,18,1876,1,3,0
2365000,3,17,3303,1,2,0
2375000,0,21,784,1,2,0
2375000,1,20,3090,1,1,0
2375000,2,19,427,1,0,0
2375000,3,18,2588,1,3,0
2385000,0,22,1698,1,3,0
2385000,1,21,136,1,2,0
2385000,2,20,1350,1,1,0
2385000,3,19,340,1,0,0
2395000,0,23,1281,1,0,0
2395000,1,22,2410,1,3,0
2395000,2,21,460,1,2,0
2395000,3,20,1501,1,1,0
2405000,0,24,2504,1,1,0
2405000,1,23,1194,1,0,0
2405000,2,22,2054,1,3,0
2405000,3,21,3141,1,2,0
2415000,0,25,865,1,2,0
2415000,1,24,2655,1,1,0
2415000,2,23,2902,1,0,0
2415000,3,22,2766,1,3,0
2425000,0,26,1609,1,3,0
2425000,1,25,217,1,2,0
2425000,2,24,915,1,1,0
2425000,3,23,2815,1,0,0
2435000,0,27,1708,1,0,0
2435000,1,26,2321,1,3,0
2435000,2,25,541,1,2,0
2435000,3,24,1066,1,1,0
2445000,0,28,45,1,1,0
2445000,1,27,1621,1,0,0
2445000,2,26,1965,1,3,0
2445000,3,25,3222,1,2,0
2455000,0,29,703,1,2,0
2455000,1,28,196,1,1,0
2455000,2,27,0,1,0,0
2455000,3,26,2677,1,3,0
2465000,0,30,1787,1,3,0
2465000,1,29,55,1,2,0
2465000,2,28,1785,1,1,0
2465000,3,27,3242,1,0,0
2475000,0,31,854,1,0,0
2475000,1,30,2499,1,3,0
2475000,2,29,379,1,2,0
2475000,3,28,1936,1,1,0
2485000,0,32,1128,1,1,0
2485000,1,31,767,1,0,0
2485000,2,30,2143,1,3,0
2485000,3,29,3060,1,2,0
2495000,0,33,134,1,2,0
2495000,1,32,1279,1,1,0
2495000,2,31,2475,1,0,0
2495000,3,30,2855,1,3,0
2505000,0,34,2330,1,3,0
2505000,1,33,2815,1,2,0
2505000,2,32,2868,1,1,0
2505000,3,31,2388,1,0,0
2515000,0,35,3074,1,0,0
2515000,1,34,3042,1,3,0
2515000,2,33,3139,1,2,0
2515000,3,32,3019,1,1,0
2525000,0,36,1998,1,1,0
2525000,1,35,2987,1,0,0
2525000,2,34,2686,1,3,0
2525000,3,33,2491,1,2,0
2535000,0,37,3301,1,2,0
2535000,1,36,2149,1,1,0
2535000,2,35,1366,1,0,0
2535000,3,34,69,1,3,0
2545000,0,38,2508,1,3,0
2545000,1,37,2653,1,2,0
2545000,2,36,409,1,1,0
2545000,3,35,1279,1,0,0
2555000,0,39,2220,1,0,0
2555000,1,38,3220,1,3,0
2555000,2,37,2977,1,2,0
2555000,3,36,560,1,1,0
2565000,0,40,1563,1,1,0
2565000,1,39,2133,1,0,0
2565000,2,38,2864,1,3,0
2565000,3,37,2329,1,2,0
2575000,0,41,53,1,2,0
2575000,1,40,1714,1,1,0
2575000,2,39,512,1,0,0
2575000,3,38,247,1,3,0
2585000,0,42,2419,1,3,0
2585000,1,41,2734,1,2,0
2585000,2,40,3303,1,1,0
2585000,3,39,425,1,0,0
2595000,0,43,2647,1,0,0
2595000,1,42,3131,1,3,0
2595000,2,41,3058,1,2,0
2595000,3,40,125,1,1,0
2605000,0,44,2433,1,1,0
2605000,1,43,2560,1,0,0
2605000,2,42,2775,1,3,0
2605000,3,41,2410,1,2,0
2615000,0,45,3220,1,2,0
2615000,1,44,2584,1,1,0
2615000,2,43,939,1,0,0
2615000,3,42,158,1,3,0
2625000,0,46,2597,1,3,0
2625000,1,45,2572,1,2,0
2625000,2,44,844,1,1,0
2625000,3,43,852,1,0,0
2635000,0,47,1793,1,0,0
2635000,1,46,3309,1,3,0
2635000,2,45,2896,1,2,0
2635000,3,44,995,1,1,0
2645000,0,48,3010,1,1,0
2645000,1,47,1706,1,0,0
2645000,2,46,2953,1,3,0
2645000,3,45,2248,1,2,0
2655000,0,49,1758,1,2,0
2655000,1,48,3161,1,1,0
2655000,2,47,85,1,0,0
2655000,3,46,336,1,3,0
2665000,0,50,710,1,3,0
2665000,1,49,1110,1,2,0
2665000,2,48,1421,1,1,0
2665000,3,47,3327,1,0,0
2675000,0,51,1196,1,0,0
2675000,1,50,1422,1,3,0
2675000,2,49,1434,1,2,0
2675000,3,48,1572,1,1,0
2685000,0,52,551,1,1,0
2685000,1,51,1109,1,0,0
2685000,2,50,1066,1,3,0
2685000,3,49,786,1,2,0
2695000,0,53,1596,1,2,0
2695000,1,52,702,1,1,0
2695000,2,51,2817,1,0,0
2695000,3,50,1778,1,3,0
2705000,0,54,888,1,3,0
2705000,1,53,948,1,2,0
